,rescode,hhsize,age16m,age16f,under16
581,34126,4.0,1.0,1.0,2.0
582,34125,4.0,1.0,1.0,2.0
583,34120,6.0,1.0,3.0,2.0
584,34113,5.0,1.0,1.0,3.0
585,34112,6.0,1.0,1.0,4.0
586,34111,5.0,1.0,1.0,3.0
587,34109,3.0,1.0,1.0,1.0
588,34132,5.0,2.0,1.0,2.0
589,34131,5.0,1.0,1.0,3.0
590,34127,4.0,1.0,1.0,2.0
591,34114,4.0,1.0,1.0,2.0
592,34106,5.0,0.0,2.0,3.0
593,34102,3.0,1.0,1.0,1.0
594,35402,4.0,1.0,3.0,0.0
595,35204,4.0,1.0,1.0,2.0
596,35305,3.0,0.0,1.0,2.0
597,35302,4.0,0.0,4.0,0.0
598,35405,3.0,1.0,2.0,0.0
599,35506,3.0,1.0,2.0,0.0
600,35512,6.0,1.0,1.0,4.0
601,35101,7.0,1.0,3.0,3.0
602,35103,3.0,0.0,1.0,2.0
603,35107,4.0,1.0,1.0,2.0
604,35105,4.0,1.0,1.0,2.0
605,35306,3.0,1.0,1.0,1.0
606,35303,3.0,1.0,2.0,0.0
607,35407,2.0,1.0,1.0,0.0
608,35507,4.0,1.0,1.0,2.0
609,35521,6.0,2.0,2.0,2.0
610,35104,4.0,1.0,1.0,2.0
611,35102,6.0,1.0,1.0,4.0
612,35202,4.0,2.0,2.0,0.0
613,35409,4.0,1.0,1.0,2.0
614,35304,4.0,0.0,2.0,2.0
615,35408,3.0,0.0,2.0,1.0
616,35403,5.0,1.0,1.0,3.0
617,35522,7.0,3.0,1.0,3.0
618,35520,4.0,1.0,2.0,1.0
619,35203,7.0,1.0,3.0,3.0
620,35505,5.0,1.0,1.0,3.0
621,35504,4.0,1.0,1.0,2.0
622,35523,5.0,1.0,2.0,2.0
623,35513,2.0,1.0,1.0,0.0
624,35205,6.0,1.0,1.0,4.0
625,36150,5.0,1.0,1.0,3.0
626,36103,4.0,0.0,4.0,0.0
627,36107,3.0,0.0,2.0,1.0
628,36133,6.0,3.0,2.0,1.0
629,36144,4.0,1.0,1.0,2.0
630,36151,6.0,2.0,3.0,1.0
631,36128,6.0,2.0,2.0,2.0
632,36146,4.0,2.0,1.0,1.0
633,36139,9.0,4.0,1.0,4.0
634,36140,4.0,0.0,1.0,3.0
635,36147,4.0,1.0,1.0,2.0
636,36112,3.0,0.0,3.0,0.0
637,36113,4.0,2.0,1.0,1.0
638,36110,4.0,2.0,2.0,0.0
639,36148,4.0,1.0,1.0,2.0
640,36141,4.0,2.0,2.0,0.0
641,36138,4.0,1.0,1.0,2.0
642,36135,5.0,1.0,1.0,3.0
643,36142,6.0,1.0,3.0,2.0
644,36136,5.0,1.0,1.0,3.0
645,36137,6.0,2.0,3.0,1.0
646,36134,4.0,1.0,1.0,2.0
647,36145,5.0,2.0,2.0,1.0
648,36132,5.0,1.0,1.0,3.0
649,36131,7.0,2.0,4.0,1.0
650,36130,4.0,1.0,1.0,2.0
651,36121,5.0,1.0,1.0,3.0
652,36143,6.0,2.0,3.0,1.0
653,36149,3.0,1.0,1.0,1.0
654,36119,5.0,2.0,2.0,1.0
655,37201,3.0,1.0,1.0,1.0
656,37106,3.0,0.0,2.0,1.0
657,37101,7.0,3.0,2.0,2.0
658,37102,4.0,1.0,1.0,2.0
659,37104,5.0,3.0,1.0,1.0
660,37303,4.0,1.0,1.0,2.0
